Ngay,GiaDongCua
29/12/2023,11.4
28/12/2023,11.55
27/12/2023,11.55
26/12/2023,11.65
25/12/2023,11.8
22/12/2023,11.1
21/12/2023,11.25
20/12/2023,11.25
19/12/2023,10.85
18/12/2023,10.6
15/12/2023,10.75
14/12/2023,10.8
13/12/2023,10.95
12/12/2023,11.2
11/12/2023,11.05
08/12/2023,11.1
07/12/2023,11.25
06/12/2023,11.6
05/12/2023,11.6
04/12/2023,11.7
01/12/2023,11.25
30/11/2023,10.75
29/11/2023,10.95
28/11/2023,10.9
27/11/2023,10.55
24/11/2023,10.35
23/11/2023,10.15
22/11/2023,10.9
21/11/2023,10.2
20/11/2023,10.05
17/11/2023,10.1
16/11/2023,10.3
15/11/2023,10.2
14/11/2023,10.0
13/11/2023,9.85
10/11/2023,9.9
09/11/2023,10.05
08/11/2023,10.05
07/11/2023,9.46
06/11/2023,9.4
03/11/2023,9.45
02/11/2023,9.55
01/11/2023,8.98
31/10/2023,8.4
30/10/2023,9.0
27/10/2023,9.65
26/10/2023,9.91
25/10/2023,10.65
24/10/2023,10.9
23/10/2023,11.2
20/10/2023,11.65
19/10/2023,11.2
18/10/2023,12.0
17/10/2023,12.85
16/10/2023,13.5
13/10/2023,13.4
12/10/2023,13.25
11/10/2023,13.65
10/10/2023,13.4
09/10/2023,13.45
06/10/2023,13.1
05/10/2023,12.85
04/10/2023,12.95
03/10/2023,12.55
02/10/2023,13.45
29/09/2023,13.25
28/09/2023,13.35
27/09/2023,12.5
26/09/2023,12.2
25/09/2023,13.0
22/09/2023,13.45
21/09/2023,13.85
20/09/2023,13.4
19/09/2023,12.85
18/09/2023,12.4
15/09/2023,12.95
14/09/2023,13.0
13/09/2023,12.8
12/09/2023,12.85
11/09/2023,12.7
08/09/2023,12.85
07/09/2023,12.2
06/09/2023,12.15
05/09/2023,12.2
31/08/2023,11.95
30/08/2023,11.4
29/08/2023,11.4
28/08/2023,11.45
25/08/2023,11.45
24/08/2023,11.25
23/08/2023,11.05
22/08/2023,11.25
21/08/2023,11.3
18/08/2023,11.65
17/08/2023,12.5
16/08/2023,12.7
15/08/2023,12.85
14/08/2023,12.8
11/08/2023,12.8
10/08/2023,12.6
09/08/2023,12.85
08/08/2023,13.1
07/08/2023,13.0
04/08/2023,12.65
03/08/2023,12.55
02/08/2023,12.5
01/08/2023,12.4
31/07/2023,12.55
28/07/2023,12.8
27/07/2023,12.7
26/07/2023,12.8
25/07/2023,13.5
24/07/2023,13.7
21/07/2023,13.3
20/07/2023,13.1
19/07/2023,13.15
18/07/2023,13.25
17/07/2023,13.35
14/07/2023,13.15
13/07/2023,13.1
12/07/2023,13.1
11/07/2023,13.0
10/07/2023,13.25
07/07/2023,13.1
06/07/2023,12.75
05/07/2023,13.0
04/07/2023,12.9
03/07/2023,12.9
30/06/2023,12.65
