Ngay,Symbol,GiaDongCua
29/12/2023,VSC,29.0
28/12/2023,VSC,29.05
27/12/2023,VSC,28.8
26/12/2023,VSC,29.25
25/12/2023,VSC,29.9
22/12/2023,VSC,29.2
21/12/2023,VSC,29.5
20/12/2023,VSC,29.2
19/12/2023,VSC,29.1
18/12/2023,VSC,28.75
15/12/2023,VSC,29.05
14/12/2023,VSC,29.1
13/12/2023,VSC,29.7
12/12/2023,VSC,30.0
11/12/2023,VSC,29.05
08/12/2023,VSC,29.3
07/12/2023,VSC,29.5
06/12/2023,VSC,29.5
05/12/2023,VSC,28.5
04/12/2023,VSC,28.5
01/12/2023,VSC,27.7
30/11/2023,VSC,27.5
29/11/2023,VSC,27.85
28/11/2023,VSC,27.95
27/11/2023,VSC,27.8
24/11/2023,VSC,27.45
23/11/2023,VSC,27.7
22/11/2023,VSC,29.75
21/11/2023,VSC,29.8
20/11/2023,VSC,29.25
17/11/2023,VSC,28.4
16/11/2023,VSC,27.85
15/11/2023,VSC,27.7
14/11/2023,VSC,27.5
13/11/2023,VSC,27.05
10/11/2023,VSC,26.65
09/11/2023,VSC,26.75
08/11/2023,VSC,25.0
07/11/2023,VSC,24.4
06/11/2023,VSC,24.45
03/11/2023,VSC,24.6
02/11/2023,VSC,25.2
01/11/2023,VSC,24.5
31/10/2023,VSC,23.5
30/10/2023,VSC,24.8
27/10/2023,VSC,24.9
26/10/2023,VSC,24.35
25/10/2023,VSC,25.8
24/10/2023,VSC,25.65
23/10/2023,VSC,25.65
20/10/2023,VSC,26.45
19/10/2023,VSC,25.6
18/10/2023,VSC,26.0
17/10/2023,VSC,25.7
16/10/2023,VSC,26.9
13/10/2023,VSC,27.6
12/10/2023,VSC,27.65
11/10/2023,VSC,27.4
10/10/2023,VSC,27.25
09/10/2023,VSC,26.85
06/10/2023,VSC,26.5
05/10/2023,VSC,26.1
04/10/2023,VSC,27.45
03/10/2023,VSC,27.35
02/10/2023,VSC,28.2
29/09/2023,VSC,28.7
28/09/2023,VSC,28.65
27/09/2023,VSC,28.3
26/09/2023,VSC,26.9
25/09/2023,VSC,27.9
22/09/2023,VSC,29.95
21/09/2023,VSC,31.2
20/09/2023,VSC,31.55
19/09/2023,VSC,30.8
18/09/2023,VSC,30.6
15/09/2023,VSC,32.0
14/09/2023,VSC,32.25
13/09/2023,VSC,33.2
12/09/2023,VSC,32.4
11/09/2023,VSC,31.9
08/09/2023,VSC,32.7
