Ngay,Symbol,GiaDongCua
29/12/2023,VTO,9.5
28/12/2023,VTO,9.49
27/12/2023,VTO,9.45
26/12/2023,VTO,9.5
25/12/2023,VTO,9.5
22/12/2023,VTO,9.48
21/12/2023,VTO,9.52
20/12/2023,VTO,9.4
19/12/2023,VTO,9.35
18/12/2023,VTO,9.35
15/12/2023,VTO,9.27
14/12/2023,VTO,9.26
13/12/2023,VTO,9.26
12/12/2023,VTO,9.32
11/12/2023,VTO,9.31
08/12/2023,VTO,9.38
07/12/2023,VTO,9.44
06/12/2023,VTO,9.44
05/12/2023,VTO,9.34
04/12/2023,VTO,9.31
01/12/2023,VTO,9.18
30/11/2023,VTO,9.17
29/11/2023,VTO,9.14
28/11/2023,VTO,9.13
27/11/2023,VTO,9.01
24/11/2023,VTO,9.15
23/11/2023,VTO,9.12
22/11/2023,VTO,9.2
21/11/2023,VTO,9.15
20/11/2023,VTO,9.12
17/11/2023,VTO,9.13
16/11/2023,VTO,9.2
15/11/2023,VTO,9.14
14/11/2023,VTO,9.09
13/11/2023,VTO,9.05
10/11/2023,VTO,9.05
09/11/2023,VTO,9.02
08/11/2023,VTO,9.15
07/11/2023,VTO,9.01
06/11/2023,VTO,8.96
03/11/2023,VTO,8.94
02/11/2023,VTO,8.94
01/11/2023,VTO,8.6
31/10/2023,VTO,8.6
30/10/2023,VTO,8.7
27/10/2023,VTO,8.82
26/10/2023,VTO,8.65
25/10/2023,VTO,9.22
24/10/2023,VTO,9.15
23/10/2023,VTO,9.12
20/10/2023,VTO,9.2
19/10/2023,VTO,9.17
18/10/2023,VTO,9.21
17/10/2023,VTO,9.7
16/10/2023,VTO,9.78
13/10/2023,VTO,9.54
12/10/2023,VTO,9.5
11/10/2023,VTO,9.51
10/10/2023,VTO,9.47
09/10/2023,VTO,9.5
06/10/2023,VTO,9.45
05/10/2023,VTO,9.17
04/10/2023,VTO,9.16
03/10/2023,VTO,8.97
02/10/2023,VTO,9.34
29/09/2023,VTO,9.28
28/09/2023,VTO,9.38
27/09/2023,VTO,9.2
26/09/2023,VTO,9.3
25/09/2023,VTO,9.41
22/09/2023,VTO,9.7
21/09/2023,VTO,9.84
20/09/2023,VTO,9.64
19/09/2023,VTO,9.45
18/09/2023,VTO,9.48
15/09/2023,VTO,9.61
14/09/2023,VTO,9.62
13/09/2023,VTO,9.76
12/09/2023,VTO,9.8
11/09/2023,VTO,9.8
08/09/2023,VTO,9.7
07/09/2023,VTO,9.48
06/09/2023,VTO,9.42
05/09/2023,VTO,9.5
31/08/2023,VTO,9.31
30/08/2023,VTO,9.16
29/08/2023,VTO,9.22
28/08/2023,VTO,9.16
25/08/2023,VTO,9.12
24/08/2023,VTO,9.12
23/08/2023,VTO,9.1
22/08/2023,VTO,9.11
21/08/2023,VTO,8.99
18/08/2023,VTO,8.97
17/08/2023,VTO,9.62
16/08/2023,VTO,9.7
15/08/2023,VTO,9.55
14/08/2023,VTO,9.54
11/08/2023,VTO,9.48
10/08/2023,VTO,9.58
09/08/2023,VTO,9.7
08/08/2023,VTO,9.58
07/08/2023,VTO,9.47
04/08/2023,VTO,9.42
03/08/2023,VTO,9.45
02/08/2023,VTO,9.53
01/08/2023,VTO,9.6
31/07/2023,VTO,9.77
28/07/2023,VTO,9.72
27/07/2023,VTO,9.71
26/07/2023,VTO,9.53
25/07/2023,VTO,9.47
24/07/2023,VTO,9.67
21/07/2023,VTO,9.78
20/07/2023,VTO,9.95
19/07/2023,VTO,9.81
18/07/2023,VTO,9.17
17/07/2023,VTO,9.17
14/07/2023,VTO,9.2
13/07/2023,VTO,9.14
12/07/2023,VTO,9.16
11/07/2023,VTO,8.96
10/07/2023,VTO,8.98
07/07/2023,VTO,8.9
06/07/2023,VTO,8.85
05/07/2023,VTO,9.0
04/07/2023,VTO,9.0
03/07/2023,VTO,8.96
30/06/2023,VTO,8.86
29/06/2023,VTO,8.91
28/06/2023,VTO,9.13
27/06/2023,VTO,9.21
26/06/2023,VTO,8.91
23/06/2023,VTO,8.77
22/06/2023,VTO,8.72
21/06/2023,VTO,8.6
20/06/2023,VTO,8.61
19/06/2023,VTO,8.6
16/06/2023,VTO,8.72
15/06/2023,VTO,8.73
14/06/2023,VTO,8.79
13/06/2023,VTO,8.8
12/06/2023,VTO,8.72
09/06/2023,VTO,8.71
08/06/2023,VTO,8.82
07/06/2023,VTO,9.0
06/06/2023,VTO,9.0
05/06/2023,VTO,9.13
02/06/2023,VTO,9.8
01/06/2023,VTO,9.75
31/05/2023,VTO,9.8
30/05/2023,VTO,9.76
29/05/2023,VTO,9.72
26/05/2023,VTO,9.61
25/05/2023,VTO,9.61
24/05/2023,VTO,9.62
23/05/2023,VTO,9.62
22/05/2023,VTO,9.54
19/05/2023,VTO,9.48
18/05/2023,VTO,9.52
17/05/2023,VTO,9.43
16/05/2023,VTO,9.21
15/05/2023,VTO,9.18
12/05/2023,VTO,9.45
11/05/2023,VTO,9.22
10/05/2023,VTO,9.1
09/05/2023,VTO,9.1
08/05/2023,VTO,9.19
05/05/2023,VTO,8.98
04/05/2023,VTO,9.1
28/04/2023,VTO,8.97
27/04/2023,VTO,9.01
26/04/2023,VTO,9.08
25/04/2023,VTO,9.03
24/04/2023,VTO,8.96
21/04/2023,VTO,9.09
20/04/2023,VTO,9.12
19/04/2023,VTO,9.79
18/04/2023,VTO,9.9
17/04/2023,VTO,9.79
14/04/2023,VTO,9.85
13/04/2023,VTO,10.4
12/04/2023,VTO,10.75
11/04/2023,VTO,10.8
10/04/2023,VTO,10.45
07/04/2023,VTO,10.3
06/04/2023,VTO,9.85
05/04/2023,VTO,10.1
04/04/2023,VTO,10.05
03/04/2023,VTO,9.43
31/03/2023,VTO,9.38
30/03/2023,VTO,9.4
29/03/2023,VTO,9.4
28/03/2023,VTO,9.13
27/03/2023,VTO,9.21
24/03/2023,VTO,9.26
23/03/2023,VTO,9.24
22/03/2023,VTO,9.16
21/03/2023,VTO,9.07
20/03/2023,VTO,8.98
17/03/2023,VTO,9.04
16/03/2023,VTO,8.97
15/03/2023,VTO,9.21
14/03/2023,VTO,8.8
13/03/2023,VTO,9.12
10/03/2023,VTO,9.25
09/03/2023,VTO,9.35
08/03/2023,VTO,9.35
07/03/2023,VTO,9.35
06/03/2023,VTO,9.27
03/03/2023,VTO,9.03
02/03/2023,VTO,9.03
01/03/2023,VTO,8.65
28/02/2023,VTO,8.09
27/02/2023,VTO,8.09
24/02/2023,VTO,8.18
23/02/2023,VTO,8.2
22/02/2023,VTO,8.27
21/02/2023,VTO,8.4
20/02/2023,VTO,8.49
17/02/2023,VTO,8.31
16/02/2023,VTO,8.34
15/02/2023,VTO,8.0
14/02/2023,VTO,7.65
13/02/2023,VTO,7.67
10/02/2023,VTO,7.8
09/02/2023,VTO,7.8
08/02/2023,VTO,7.77
07/02/2023,VTO,7.68
06/02/2023,VTO,7.86
03/02/2023,VTO,7.7
02/02/2023,VTO,7.7
01/02/2023,VTO,7.9
31/01/2023,VTO,8.2
30/01/2023,VTO,8.1
27/01/2023,VTO,8.15
19/01/2023,VTO,8.05
18/01/2023,VTO,7.94
17/01/2023,VTO,7.95
16/01/2023,VTO,8.0
13/01/2023,VTO,7.8
12/01/2023,VTO,7.8
11/01/2023,VTO,7.86
10/01/2023,VTO,7.84
09/01/2023,VTO,7.75
06/01/2023,VTO,7.75
05/01/2023,VTO,8.2
04/01/2023,VTO,8.02
03/01/2023,VTO,7.5
30/12/2022,VTO,7.32
29/12/2022,VTO,7.42
28/12/2022,VTO,7.42
27/12/2022,VTO,7.2
26/12/2022,VTO,7.2
23/12/2022,VTO,7.4
22/12/2022,VTO,7.4
21/12/2022,VTO,7.32
20/12/2022,VTO,7.43
19/12/2022,VTO,7.55
16/12/2022,VTO,7.52
15/12/2022,VTO,7.52
14/12/2022,VTO,7.5
13/12/2022,VTO,7.5
12/12/2022,VTO,7.51
09/12/2022,VTO,7.43
08/12/2022,VTO,7.51
07/12/2022,VTO,7.4
06/12/2022,VTO,7.5
05/12/2022,VTO,7.7
02/12/2022,VTO,7.55
01/12/2022,VTO,7.5
30/11/2022,VTO,7.46
29/11/2022,VTO,7.45
28/11/2022,VTO,7.45
25/11/2022,VTO,7.1
24/11/2022,VTO,6.94
23/11/2022,VTO,6.98
22/11/2022,VTO,7.0
21/11/2022,VTO,6.69
18/11/2022,VTO,6.41
17/11/2022,VTO,6.41
16/11/2022,VTO,6.27
15/11/2022,VTO,5.86
14/11/2022,VTO,6.3
11/11/2022,VTO,6.5
10/11/2022,VTO,6.52
09/11/2022,VTO,6.87
08/11/2022,VTO,6.93
07/11/2022,VTO,6.9
04/11/2022,VTO,7.2
03/11/2022,VTO,7.3
02/11/2022,VTO,7.31
01/11/2022,VTO,7.33
31/10/2022,VTO,7.2
28/10/2022,VTO,7.21
27/10/2022,VTO,7.17
26/10/2022,VTO,6.95
25/10/2022,VTO,6.97
24/10/2022,VTO,7.01
21/10/2022,VTO,7.3
20/10/2022,VTO,7.37
19/10/2022,VTO,7.46
18/10/2022,VTO,7.5
17/10/2022,VTO,7.35
14/10/2022,VTO,7.43
13/10/2022,VTO,7.43
12/10/2022,VTO,7.25
11/10/2022,VTO,7.14
10/10/2022,VTO,7.3
07/10/2022,VTO,7.24
06/10/2022,VTO,7.51
05/10/2022,VTO,7.65
04/10/2022,VTO,7.21
03/10/2022,VTO,7.2
30/09/2022,VTO,7.55
29/09/2022,VTO,7.65
28/09/2022,VTO,7.71
27/09/2022,VTO,7.68
26/09/2022,VTO,7.73
23/09/2022,VTO,7.98
22/09/2022,VTO,8.0
21/09/2022,VTO,7.81
20/09/2022,VTO,7.73
19/09/2022,VTO,7.7
16/09/2022,VTO,7.99
15/09/2022,VTO,8.12
14/09/2022,VTO,8.07
13/09/2022,VTO,8.13
12/09/2022,VTO,8.13
09/09/2022,VTO,8.3
08/09/2022,VTO,8.56
07/09/2022,VTO,8.2
06/09/2022,VTO,8.08
05/09/2022,VTO,8.1
31/08/2022,VTO,8.1
30/08/2022,VTO,8.19
29/08/2022,VTO,8.18
26/08/2022,VTO,8.26
25/08/2022,VTO,8.38
24/08/2022,VTO,8.4
23/08/2022,VTO,8.37
22/08/2022,VTO,8.15
19/08/2022,VTO,8.21
18/08/2022,VTO,8.25
17/08/2022,VTO,8.39
16/08/2022,VTO,8.41
15/08/2022,VTO,8.41
12/08/2022,VTO,8.36
11/08/2022,VTO,8.4
10/08/2022,VTO,8.58
09/08/2022,VTO,8.7
08/08/2022,VTO,8.5
05/08/2022,VTO,8.46
04/08/2022,VTO,8.59
03/08/2022,VTO,8.29
02/08/2022,VTO,7.75
01/08/2022,VTO,7.61
29/07/2022,VTO,7.66
28/07/2022,VTO,7.68
27/07/2022,VTO,7.62
26/07/2022,VTO,7.64
25/07/2022,VTO,7.74
22/07/2022,VTO,7.83
21/07/2022,VTO,7.89
20/07/2022,VTO,7.9
19/07/2022,VTO,7.82
18/07/2022,VTO,7.79
15/07/2022,VTO,7.84
14/07/2022,VTO,7.61
13/07/2022,VTO,7.64
12/07/2022,VTO,7.6
11/07/2022,VTO,7.5
08/07/2022,VTO,7.55
07/07/2022,VTO,7.35
06/07/2022,VTO,7.3
05/07/2022,VTO,7.57
04/07/2022,VTO,7.68
01/07/2022,VTO,7.71
30/06/2022,VTO,7.89
29/06/2022,VTO,7.9
28/06/2022,VTO,7.91
27/06/2022,VTO,7.8
24/06/2022,VTO,7.51
23/06/2022,VTO,7.48
22/06/2022,VTO,7.4
21/06/2022,VTO,7.25
20/06/2022,VTO,7.5
17/06/2022,VTO,7.75
16/06/2022,VTO,8.05
15/06/2022,VTO,7.89
14/06/2022,VTO,8.35
13/06/2022,VTO,8.7
10/06/2022,VTO,9.35
09/06/2022,VTO,9.55
08/06/2022,VTO,9.65
07/06/2022,VTO,9.49
06/06/2022,VTO,9.65
03/06/2022,VTO,9.7
02/06/2022,VTO,9.85
01/06/2022,VTO,10.15
31/05/2022,VTO,11.15
30/05/2022,VTO,11.0
27/05/2022,VTO,10.8
26/05/2022,VTO,10.9
25/05/2022,VTO,10.65
24/05/2022,VTO,10.3
23/05/2022,VTO,10.2
20/05/2022,VTO,10.35
19/05/2022,VTO,10.35
18/05/2022,VTO,10.25
17/05/2022,VTO,10.05
16/05/2022,VTO,9.4
13/05/2022,VTO,9.15
12/05/2022,VTO,9.8
11/05/2022,VTO,10.5
10/05/2022,VTO,10.0
09/05/2022,VTO,10.25
06/05/2022,VTO,11.0
05/05/2022,VTO,11.65
04/05/2022,VTO,11.5
29/04/2022,VTO,11.6
28/04/2022,VTO,11.7
27/04/2022,VTO,11.4
26/04/2022,VTO,11.1
25/04/2022,VTO,11.0
22/04/2022,VTO,11.0
21/04/2022,VTO,10.8
20/04/2022,VTO,11.4
19/04/2022,VTO,11.7
18/04/2022,VTO,11.75
15/04/2022,VTO,12.6
14/04/2022,VTO,12.8
13/04/2022,VTO,13.2
12/04/2022,VTO,12.65
08/04/2022,VTO,13.6
07/04/2022,VTO,14.05
06/04/2022,VTO,14.55
05/04/2022,VTO,15.0
04/04/2022,VTO,15.0
01/04/2022,VTO,15.5
31/03/2022,VTO,15.45
30/03/2022,VTO,15.75
29/03/2022,VTO,15.6
28/03/2022,VTO,15.3
25/03/2022,VTO,15.5
24/03/2022,VTO,15.7
23/03/2022,VTO,15.2
22/03/2022,VTO,15.3
21/03/2022,VTO,15.1
18/03/2022,VTO,15.0
17/03/2022,VTO,15.2
16/03/2022,VTO,15.6
15/03/2022,VTO,15.2
14/03/2022,VTO,15.2
11/03/2022,VTO,15.55
10/03/2022,VTO,15.25
09/03/2022,VTO,15.0
08/03/2022,VTO,14.05
07/03/2022,VTO,15.05
04/03/2022,VTO,14.5
03/03/2022,VTO,14.4
02/03/2022,VTO,13.5
01/03/2022,VTO,13.45
28/02/2022,VTO,13.25
25/02/2022,VTO,13.35
24/02/2022,VTO,13.2
23/02/2022,VTO,13.55
22/02/2022,VTO,13.2
21/02/2022,VTO,13.2
18/02/2022,VTO,12.55
17/02/2022,VTO,12.65
16/02/2022,VTO,12.6
15/02/2022,VTO,12.65
14/02/2022,VTO,12.8
11/02/2022,VTO,12.5
10/02/2022,VTO,12.3
09/02/2022,VTO,12.3
08/02/2022,VTO,12.3
07/02/2022,VTO,12.15
28/01/2022,VTO,11.7
